"","STATIONID","LAT","LONG","STATION"
"204","USW00003026","39.2414",-102.2819,"BURLINGTON CARSON AP"
"205","USW00003029","35.6569",-109.0603,"WINDOW ROCK AP"
"206","USW00003030","36.6819",-101.5053,"GUYMON MUNI AP"
"207","USW00003032","30.0481",-102.2128,"DRYDEN TERRELL CO AP"
"208","USW00003035","32.8525",-104.4675,"ARTESIA MUNI AP"
"209","USW00003044","32.2125",-101.5214,"BIG SPRING WRINKLE AP"
"210","USW00003049","30.3833",-103.6833,"ALPINE CASPARIS AP"
"211","USW00003050","32.6933",-100.9506,"SNYDER WINSTON FLD AP"
"212","USW00003056","32.6753",-102.6544,"GAINES CO AP"
"213","USW00003058","31.3825",-103.5108,"PECOS MUNI AP"
"214","USW00003102","34.0531",-117.5769,"ONTARIO INTL AP"
"215","USW00003103","35.1442",-111.6664,"FLAGSTAFF AP"
"216","USW00003104","33.6317",-116.1642,"DESERT RESORTS RGNL AP"
"217","USW00003122","33.8017",-118.3411,"TORRANCE AP"
"218","USW00003144","32.8347",-115.5767,"IMPERIAL CO AP"
"219","USW00003160","36.6206",-116.0278,"DESERT ROCK AP"
"220","USW00003162","36.9211",-111.4486,"PAGE MUNI AP"
"221","USW00003166","33.8717",-117.9855,"FULLERTON MUNI AP"
"222","USW00003167","33.9236",-118.3328,"HAWTHORNE MUNI AP"
"223","USW00003170","39.6014",-116.0056,"EUREKA AP"
"224","USW00003171","33.9528",-117.4353,"RIVERSIDE MUNI AP"
"225","USW00003177","33.1300",-117.2764,"CARLSBAD MCCLELLAN PALOMAR AP"
"226","USW00003179","33.9756",-117.625,"CHINO AP"
"227","USW00003184","33.6903",-112.0661,"PHOENIX DEER VALLEY MUNI AP"
"228","USW00003192","33.6122",-111.923,"SCOTTSDALE MUNI AP"
"229","USW00003195","35.9458",-112.1553,"GRAND CANYON NP AP"
"230","USW00003196","31.4208",-110.8467,"NOGALES INTL AP"
"231","USW00003802","39.3022",-80.2239,"CLARKSBURG BENEDUM AP"
"232","USW00003804","39.3394",-81.4439,"PARKERSBURG AP"
"233","USW00003809","36.0003",-89.4094,"DYERSBURG MUNI AP"
"234","USW00003810","35.7419",-81.3822,"HICKORY FAA AP"
"235","USW00003811","35.5933",-88.9169,"JACKSON MCKELLAR- SIPES AP"
"236","USW00003812","35.4317",-82.5378,"ASHEVILLE AP"
"237","USW00003813","32.6889",-83.6531,"MACON MIDDLE GA RGNL AP"
"238","USW00003814","36.9667",-84.1333,"CORBIN CAA AP"
"239","USW00003817","36.6000",-89.9833,"MALDEN FAA AP"
"240","USW00003818","30.8369",-85.1836,"MARIANNA MUNI AP"
